lon,lat,acronym,scientific_name,source
32.898623,-13.720566,MI,macadamia integrifolia,OWN
33.04341,-9.497513,MI,macadamia integrifolia,OWN
33.226248,-9.691305,MI,macadamia integrifolia,OWN
33.333639,-12.669716,MI,macadamia integrifolia,OWN
33.349686,-13.057873,MI,macadamia integrifolia,OWN
33.487854,-14.013879,MI,macadamia integrifolia,OWN
33.538826,-9.665412,MI,macadamia integrifolia,OWN
33.765756,-14.227699,MI,macadamia integrifolia,OWN
33.82487222,-13.299121,MI,macadamia integrifolia,OWN
33.83919444,-13.120645,MI,macadamia integrifolia,OWN
33.83958889,-13.904057,MI,macadamia integrifolia,OWN
33.848905,-11.356024,MI,macadamia integrifolia,OWN
33.9027367,-13.58948,MI,macadamia integrifolia,OWN
33.92911,-13.60908,MI,macadamia integrifolia,OWN
33.948335,-13.526645,MI,macadamia integrifolia,OWN
33.9543,-13.64215,MI,macadamia integrifolia,OWN
33.97653611,-13.442719,MI,macadamia integrifolia,OWN
34.069897,-13.347794,MI,macadamia integrifolia,OWN
34.083286,-10.995027,MI,macadamia integrifolia,OWN
34.108641,-13.439194,MI,macadamia integrifolia,OWN
34.44563611,-15.437289,MI,macadamia integrifolia,OWN
34.44564,-15.43729,MI,macadamia integrifolia,OWN
34.62961,-15.3894,MI,macadamia integrifolia,OWN
33.622149,-10.404424,MI,macadamia integrifolia,OWN
33.866658,-11.874233,MI,macadamia integrifolia,OWN
34.597946,-15.313744,MI,macadamia integrifolia,OWN
34.70756,-15.285367,MI,macadamia integrifolia,OWN
34.783279,-15.399561,MI,macadamia integrifolia,OWN
34.439378,-15.559653,MI,macadamia integrifolia,OWN
34.510283,-15.632607,MI,macadamia integrifolia,OWN
34.706388,-15.632168,MI,macadamia integrifolia,OWN
34.565839,-15.690093,MI,macadamia integrifolia,OWN
33.555013,-10.754883,MI,macadamia integrifolia,OWN
33.403598,-11.124618,MI,macadamia integrifolia,OWN
33.758252,-10.864967,MI,macadamia integrifolia,OWN
34.074293,-10.617533,MI,macadamia integrifolia,OWN
35.094318,-15.76275,MI,macadamia integrifolia,OWN
35.121648,-15.744216,MI,macadamia integrifolia,OWN
35.171684,-16.083339,MI,macadamia integrifolia,OWN
35.223357,-16.069823,MI,macadamia integrifolia,OWN
35.074123,-15.92532,MI,macadamia integrifolia,OWN
35.072003,-15.925984,MI,macadamia integrifolia,OWN
35.080637,-15.9513,MI,macadamia integrifolia,OWN
35.070865,-16.007774,MI,macadamia integrifolia,OWN
35.54156,-16.03377,MI,macadamia integrifolia,OWN
35.649971,-16.087537,MI,macadamia integrifolia,OWN
35.562844,-16.086311,MI,macadamia integrifolia,OWN
35.493629,-15.981914,MI,macadamia integrifolia,OWN
35.09411,-15.760093,MI,macadamia integrifolia,OWN
35.119775,-15.73743,MI,macadamia integrifolia,OWN
35.237498,-16.089582,MI,macadamia integrifolia,OWN
35.106523,-16.19971,MI,macadamia integrifolia,OWN
35.067103,-15.915412,MI,macadamia integrifolia,OWN
35.064349,-16.020584,MI,macadamia integrifolia,OWN
35.166249,-16.094791,MI,macadamia integrifolia,OWN
35.302026,-16.098554,MI,macadamia integrifolia,OWN
35.663604,-16.031458,MI,macadamia integrifolia,OWN
35.522926,-16.035837,MI,macadamia integrifolia,OWN
35.099907,-15.730171,MI,macadamia integrifolia,OWN
